Ref,Nom,Prenom,genre,Date embauche,date naissance,company
1,Andrianina,Hery,Masculin,15/01/2024,12/05/1985,TechCorp Madagascar
2,Rasoamalala,Fara,Feminin,22/03/2024,08/11/1990,TechCorp Madagascar
3,Razafy,Toky,Masculin,10/02/2023,25/07/1988,TechCorp Madagascar
4,Randrianasolo,Noro,Feminin,05/06/2024,14/02/1995,TechCorp Madagascar
5,Rajaonarivelo,Mamy,Masculin,30/04/2022,03/09/1982,TechCorp Madagascar
6,Raharison,Vola,Feminin,18/08/2024,21/12/1987,TechCorp Madagascar
7,Rakotomalala,Rija,Masculin,12/07/2023,16/04/1991,TechCorp Madagascar
8,Randriamampianina,Lanto,Feminin,25/11/2024,07/06/1989,TechCorp Madagascar
9,Rabemananjara,Solo,Masculin,14/09/2022,29/10/1986,TechCorp Madagascar
10,Rafanomezantsoa,Aina,Feminin,03/12/2023,11/01/1993,TechCorp Madagascar
